Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
SNAP DRIVE LØRENSKOG; SOLHEIMSVEIEN 54; 1461; LØRENSKOG; BILVERKSTED01, KONTROLLORGAN01; 971585188; 30529
ALNA AUTOLAKKERING AS; STUBBERUDVEIEN 8; 0668; OSLO; KONTROLLORGAN01, BILVERKSTED01; 916624417; 30247
S E LARSEN GLASS AS; STOREBOTN 11; 5309; KLEPPESTØ; BILGLASS; 947449842; 29442
Hadeland MC og Fritid AS; Storlinna 127; 2770; JAREN; MOTORSYKKELOGMOPED; 984742088; 3023
Røros Bilskade AS; Stamphusveien 13; 7374; RØROS; BILSKADE; 990726795; 10932
STRAUMEN BIL A/S; Skorgeneset 35; 6390; Vestnes; BILVERKSTEDALLE, BILSKADE, PABYGGER, KONTROLLORGAN04, FARTSSKRIVER; 951999415; 7614
CARGLASS AS avd. Forus; Røynebergsletta 1; 4033; STAVANGER; BILGLASS; 985758220; 28735
RK Verksted og Bilsalg AS; Åsaringen 265; 7236; HOVIN I GAULDAL; BILVERKSTED01, KONTROLLORGAN01; 991392610; 11474
Olsen Auto Jessheim AS; Asfaltvegen 3; 2069; JESSHEIM; BILVERKSTED01, KONTROLLORGAN01; 811717142; 26961
Autoklinikken; Bedriftveien 10; 0950; OSLO; BILVERKSTED01, KONTROLLORGAN01; 974267098; 1438
G EILERTSEN AS avd. Sunnmøre Skadesenter; Dragsundvegen 69; 6080; GURSKØY; BILSKADE; 963443900; 30637
Alleen Auto A/S; Grønndokkmoen 12A; 4580; LYNGDAL; BILVERKSTED01, KONTROLLORGAN01; 886313462; 5788
Norsk Scania AS avd. Førde; Tverrgrova 1; 6802; FØRDE; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03; 879263662; 7020
E18 Truckcenter AS, avd. Telemark; Kjørholtveien 23; 3940; SKIEN; FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE; 832673862; 4841
Nye Autocenteret AS; Ankenesveien 130; 8520; ANKENES; KONTROLLORGAN01, BILVERKSTED01; 923443541; 9207
Storgaten Bil AS; Storgata 18; 3510; HØNEFOSS; BILVERKSTED01, KONTROLLORGAN01; 952429477; 3308
Møller Bil Vest AS avd. Nyttekjøretøy; Billingstadsletta 2; 1396; BILLINGSTAD; BILVERKSTED01B, KONTROLLORGAN01B; 928481638; 18520
Harestua  Auto AS; Kvernhusvegen 13; 2743; HARESTUA; BILVERKSTED01, KONTROLLORGAN01; 876359022; 2911
Halkjelsvik Bilverksted AS; Industrigata 19; 6100; VOLDA; BILVERKSTED01B, KONTROLLORGAN01B; 913769112; 27321
Tønsberg Auto A/S; Døvlev. 37; 3170; Tønsberg; BILVERKSTED01B, KONTROLLORGAN01B; 982283035; 4397
Bilhuset Skade & Lakk AS, avd Bryne; Eskervegen 7; 4340; BRYNE; BILSKADE; 914367212; 31446
Vianor AS avd. 19 Bjørkelangen; Serviceveien 5; 1940; BJØRKELANGEN; BILVERKSTED01, KONTROLLORGAN01; 935429447; 19979
Grenland Bilservice AS; KJØRBEKKDALEN 9A; 3735; SKIEN; BILVERKSTED01, KONTROLLORGAN01; 919134062; 30619
Korgen Autosenter AS; Leirskardveien 2; 8646; KORGEN; BILVERKSTED01, KONTROLLORGAN01; 912643204; 26621
FRØYA AUTO AS;  Hammarvikbakkan 28; 7263; HAMARVIK; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 947619020; 8302
Follo Autoco AS; Kjeppestadveien 30; 1400; SKI; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 941831753; 724
FONDENES AUTO AS; Møllendalsveien 20; 5009; Bergen; BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B; 814322572; 6576
SYRSTADENG BIL AS;  Lykkjveien 57; 7334; STORÅS; BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE, TRAKTOR, KONTROLLORGAN01; 855898012; 8321
HAMMERFEST BIL AS; Båtsfjordveien 2; 9602; HAMMERFEST; BILVERKSTED01B, KONTROLLORGAN01B; 922760411; 31260
NOVABIL ; Hovebakken 27; 4306; SANDNES; BILVERKSTED01, BILSKADE; 991790543; 27924
Sofiemyr Bil AS; Skiveien 42; 1410; KOLBOTN; BILVERKSTED01B, KONTROLLORGAN01B; 977345618; 818
Møller Logistikk Bekkelaget avd Klargjøring; Bekkelagskaia Skur 91  ; 0193; OSLO; BILVERKSTED01B, ALKOLASVERKSTED; 943733988; 1335
RYFOSS BENSIN & SERVICE AS; RIDDARVEGEN 6; 2973; RYFOSS; HJUL; 983401562; 31430
DK BILSKADESENTER VEST AS; KOKSTADDALEN 28; 5257; KOKSTAD; BILSKADE; 993840866; 30224
AM MEK VERKSTED LAKK CUSTOMS AS; MEISINGSET; 6628; MEISINGSET; EKSOSANLEGG, HJUL; 812124412; 30108
ELVEVOLL HANDEL & SERVICESENTER AS; Tovik 58; 9445; TOVIK; HJUL; 885073522; 30836
MIDTUN BILVERKSTED AS; SANDBREKKEVEGEN 100; 5225; NESTTUN; KONTROLLORGAN01, BILVERKSTED01; 916627122; 29767
Lilleskog Bilverksted AS; Skjoldastraumsvegen 1150; 5567; Skjoldstraumen; BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 851777202; 6357
Karl Sunnset; Hovinsgardan 36; 7236; HOVIN I GAULDAL; FARTSSKRIVER, PABYGGER, TRAKTOR, KONTROLLORGAN01B, BILVERKSTED01B; 993585769; 27061
DEKKMANN AS avd. Mandal; Sommerkroveien 7; 4515; MANDAL; HJUL; 966242825; 30909
IKB TJENESTE KRZYSZTOF BRZESCINSKI; NORDRE KONGSVEG 71; 2372; BRØTTUM; BILSKADE; 915478395; 30325
BJØRGUM MEK. VERKSTED AS; Melhusvegen 161; 7224; MELHUS; BILVERKSTED03, PABYGGER; 877180042; 8202
Intakt Bilskade Trondheim AS; Bjørndalen 3; 7028; TRONDHEIM; BILSKADE; 995238306; 16639
Autoria Kolboten AS; Tømteveien 10; 1410; KOLBOTN; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 953581388; 707
LILLEROLFS VERKSTED AS; PARKVEIEN 2; 4838; ARENDAL; MOTORSYKKELOGMOPED; 920445462; 30905
HAVN AUTO AS; EIKEFJORD; 6940; EIKEFJORD; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 979431317; 7044
BIL OG DEKK AS; SANDBREKKETOPPEN 30; 5224; NESTTUN; HJUL; 997346378; 29621
ALLEEN AUTO AS Avd Flekkefjord; Sundegaten 3; 4400; FLEKKEFJORD; KONTROLLORGAN01, BILVERKSTED01; 886313462; 30194
MELKILD BILVERKSTED AS; Nordmørsvegen 35; 6600; SUNNDALSØRA; BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B; 962274307; 7802
LOMUNDAL TRANSPORT AS; Industriveien 16; 7200; KYRKSÆTERØRA; BILVERKSTEDALLE, KONTROLLORGAN04; 955655001; 8317
HALDEN BILSENTER AS; SVINESUNDSVEIEN 345; 1788; HALDEN; KONTROLLORGAN01B, BILVERKSTED01B; 915279112; 28954
THANSEN AS - ORKANGER; Mælaveien 6; 7300; ORKANGER; HJUL; 923897682; 31155
STORSLETT AUTO AS; SENTRUM 33; 9151; STORSLETT; KONTROLLORGAN01B, HJUL, EKSOSANLEGG, BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, LYSUTSTYR, BILGLASS, ALKOLASVERKSTED; 914283698; 29856
BJØRKELAND AS; JÆRVEIEN 184; 4373; EGERSUND; HJUL; 979384270; 29322
AUTOSTRADA JORKJEND AS; Vallemyrveien 36; 3717; SKIEN; BILVERKSTED01, KONTROLLORGAN01; 980775747; 4817
Solveien Bil AS; Solveien 22A; 1533; Moss; BILVERKSTED01B, KONTROLLORGAN01B; 950565039; 540
Haugaland Bilsenter AS; Norevegen 4; 5542; KARMSUND; BILVERKSTED01, KONTROLLORGAN01; 962135501; 6429
Frydenbø Bilsenter AS avd. Sogndal; Granden 23; 6856; SOGNDAL; BILVERKSTED01, KONTROLLORGAN01; 967149098; 14338
Motor Centeret A/S; Tinghaugvn 2; 4340; Bryne; MOTORSYKKELOGMOPED; 981305000; 6226
Driven By JL AS; Storgata 79; 9405; HARSTAD; HJUL; 918780874; 30350
Harald A Møller AS avd. Skjetten; Hvamstubben 8; 2013; SKJETTEN; PABYGGER; 914634784; 28473
EIDE AUTOSENTER AS ; Dyrholten 18; 5954; MONGSTAD; BILVERKSTED01, KONTROLLORGAN01; 965747028; 11772
Essen MC Øivind von Essen; Industriveien 1; 1820; SPYDEBERG; MOTORSYKKELOGMOPED; 984285183; 20080
IPLAST AS; INDUSTRIVEIEN 15; 3090; HOF; HJUL; 993462020; 30441
Tåsen Bilverksted AS; Maridalsveien 300; 0872; OSLO; BILVERKSTED01B, KONTROLLORGAN01B; 986596186; 1362
Bosch Car Service Sortland; Strandgata 51; 8400; SORTLAND; KONTROLLORGAN01, BILVERKSTED01; 892035792; 31129
K.J. FLOTTENS BILVERKSTED; Ulsberg; 7393; RENNEBU; BILVERKSTED01; 969258218; 8370
NAMSEN AUTO TRONDHEIM AS; ØYSANDVEGEN 239; 7224; MELHUS; BILVERKSTED01B, KONTROLLORGAN01B; 915912478; 30732
DEKKMANN AS - Arna Trucksenter; Magnusvegen 16-18; 5262; ARNATVEIT; HJUL; 966242825; 29797
BRASTAD SERVICE  Frode Brastad; ST. Halvardsvei 21 B; 3400; LIER; BILVERKSTED01; 887235562; 3741
Bernard Rønning; Spikkelia; 4821; RYKENE; TRAKTOR; 971597216; 23282
Ørjedal Maskin AS; Arborveien 3; 8690; HATTFJELLDAL; TRAKTOR; 945339276; 20482
ADAMS BILREPARASJONER AS; Nedbergeveien 11; 5178; LODDEFJORD; KONTROLLORGAN01, BILVERKSTED01; 915609651; 29885
QVALE MC AS; Brennaveien 4; 1481; HAGAN; MOTORSYKKELOGMOPED; 916069278; 29694
Bilen Din A/S; Linnegrøvane 18; 4640; SØGNE; BILVERKSTED01, KONTROLLORGAN01; 874403482; 5629
EKSOS PARTNER AS; RUDSSLETTA 82; 1351; RUD; EKSOSANLEGG; 997397738; 30489
AUTOCENTERET AS; Industrigt. 20; 2605; LILLEHAMMER; BILVERKSTED01, KONTROLLORGAN01; 974525143; 2647
Ottestad Bilverksted a/s; Stangebyveien 17; 3140; NØTTERØY; BILVERKSTED01, KONTROLLORGAN01; 812045482; 4316
GLASSMESTER BLOMQUIST ANS; SVERRES GATE 17; 3257; LARVIK; BILGLASS; 955529464; 29553
A-K maskiner AS avd Kløfta Detalj; Dyrskueveien 10; 2040; KLØFTA; TRAKTOR; 946468037; 17999
MC BUTIKKEN AS; KARMSUNDGATA 52; 5529; HAUGESUND; MOTORSYKKELOGMOPED; 982750601; 30918
Gjøvk Biloppretting A/S; Sommerrovegen 7; 2816; Gjøvik; BILSKADE; 986716408; 2993
ALFA GLASS AS; UTLEIRVEGEN 135; 7036; TRONDHEIM; BILGLASS; 998380006; 29828
HALDEN AUTO A/S; Svinesundsveien 345; 1788; HALDEN; BILVERKSTED01B, KONTROLLORGAN01B; 958682565; 441
HAUGAN TORALF; ORDAL; 3850; KVITESEID; HJUL; 969101548; 30330
Ritek AS; Rinnvegen 46; 7609; LEVANGER; BILVERKSTEDALLE, KONTROLLORGAN04; 822290582; 8584
MG SØR AS; STOREMYRLIA 14; 4790; LILLESAND; HJUL; 918824618; 30377
RS BILSERVICE AS; Sørbyveien 603; 3178; VÅLE; KONTROLLORGAN01B, BILVERKSTED01B; 918531661; 30309
Alfa Bilverksted AS; Torneroseveien 3; 4315; Sandnes; BILVERKSTED01B, KONTROLLORGAN01B; 981440722; 6121
Mæhlum Auto AS; Nordbygdsvegen 211; 2636; Øyer; BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01; 913820630; 2634
Moss To-Takt Skadesenter; Årvollskogen 91; 1529; MOSS; BILSKADE; 984039638; 20180
A-K Maskiner AS avd. Voss; Båtskottræet 3; 5710; SKULESTADMO; TRAKTOR; 946468037; 18639
PS Bil AS; Øyane 4; 6772; NORDFJORDEID; BILVERKSTED01B, PABYGGER, KONTROLLORGAN01B; 985719241; 7167
Auto S Notodden AS; SEMSVEGEN 78; 3676; NOTODDEN; BILSKADE; 996662128; 10130
Terdal Bilservice AS; Grotlevegen 65; 6727; BREMANGER; BILVERKSTED01B, KONTROLLORGAN01B; 983503268; 7131
Fixbil Damsgård Karosseri AS; Simonsviken Næringspark, Sjøkrigsskoleveien 15; 5165; LAKSEVÅG; KONTROLLORGAN01, BILSKADE, BILVERKSTED01; 983638112; 30518
Osloveien Bil AS; Osloveien  5; 1831; Askim; BILVERKSTED01, KONTROLLORGAN01; 827400602; 202
Bilia Fornebu; Widerøeveien 5; 1360; FORNEBU; BILVERKSTED01, KONTROLLORGAN01; 976023188; 942
Nordic Motor AS; Leirbekkmoen; 9321; Moen; BILVERKSTED01B, TRAKTOR; 937557345; 9833
Tesla Motors Norway AS avd. Trondheim; Haakon 7´s gate 6; 7041; TRONDHEIM; BILVERKSTED01; 914194601; 25200
Bertel O. Steen Molde; Gammelseterlia 4; 6422; Molde; FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01; 927190788; 7717
MYSEN BIL A/S; Ramstadveien 7; 1850; Mysen; BILVERKSTED01, KONTROLLORGAN01; 947652036; 237
Berg Auto AS; Olav Ingstadsvei 3; 1351; RUD; BILVERKSTED01, KONTROLLORGAN01; 992420537; 13152
ULLESTAD OLJE OG DEKKSERVICE AS; ÅRDALSTUNET; 4137; ÅRDAL I RYFYLKE; HJUL, BILGLASS; 911993430; 29453
Norgesportenbil AS; Kilebusvingen 2; 1870; ØRJE; BILVERKSTED01, KONTROLLORGAN01; 891361092; 16338
Bayauto Mandal AS; Sommerkrovn 2; 4515; MANDAL; BILVERKSTED01, KONTROLLORGAN01; 982215587; 5753
Vollen Truck & Parts AS; Røykenvn. 397; 3440; RØYKEN; BILVERKSTED01B, KONTROLLORGAN01B; 978632254; 3796
DEKK1 AS; Osloveien 14/16; 3511; HØNEFOSS; HJUL, HENGERESPALOPSBREMSEANLEGG; 979579292; 29893
HJEM DEKK AS; JANAFLATEN 52; 5179; GODVIK; HJUL; 914055644; 29273
Kriminalomsorgen Indre Østfold Fengsel; Kroksundveien 71; 1860; TRØGSTAD; HJUL; 974718693; 31496
SDV OSLO AS; Tvetenveien 185; 0673; OSLO; BILVERKSTED01, KONTROLLORGAN01; 918162445; 30997
Bil-Service Personbiler AS  Holmestrand; Hvittingfossvn 151; 3080; Holmestrand; BILVERKSTED01, KONTROLLORGAN01; 975933601; 4120
Bilpleie-spesialisten AS; SVARTBEKKVEGEN 61; 2406; ELVERUM; BILGLASS; 997045084; 29327
Toyota Oslo A/S avd Oppsal; Østmarkveien 25; 0687; OSLO; BILVERKSTED01, KONTROLLORGAN01; 950273038; 1302
JØMNA CARAVAN AS; KVERNDALSVEGEN 35; 2416; JØMNA; HENGERESPALOPSBREMSEANLEGG; 990406006; 30002
NAF Senter Skien; Nensetbakken 27; 3736; SKIEN; KONTROLLORGAN01, BILVERKSTED01; 987372540; 4863
DEKK AS; Olav Ingstadsvei 9; 1351; RUD; HJUL; 979450583; 30850
BALLANGEN AUTOSENTER AS; Elvenes; 8540; BALLANGEN; BILVERKSTED01, KONTROLLORGAN01; 916061269; 29761
TH BILSERVICE AS; Skjebergveien 143; 1743; KLAVESTADHAUGEN; BILVERKSTED01, KONTROLLORGAN01; 919232056; 30669
NAF Senter  Ålesund; Storevågen 70; 6020; Ålesund; KONTROLLORGAN01, BILVERKSTED01; 987372540; 7303
Meråker Bil og Fritid AS; Meråkernesstrøa; 7530; MERÅKER; BILVERKSTED01, KONTROLLORGAN01; 999065112; 22781
Asbjørns Bilverksted AS; Moen; 4790; Lillesand; BILVERKSTED01B, KONTROLLORGAN01B; 995618915; 5339
TRIO BILSERVICE A/S; Bruvegen 63; 2260; Kirkenær; BILVERKSTED01, KONTROLLORGAN01; 983533604; 2406
KÅSA & RINGHUS ENTREPRENØR AS; DALSVEGEN 32; 3890; VINJE; HJUL; 891336802; 29829
Bønes Auto; Dyngelandsvegen 32; 5226; NESTTUN; BILVERKSTED01, MOTORSYKKELOGMOPED; 981949730; 22580
FINSVEEN MASKIN AS; Televegen 8; 3802; BØ I TELEMARK; HJUL; 882702472; 29460
TEAM AUTOSALG AS; KVERNVOLLJORDET 1; 3534; SOKNA; BILVERKSTED01, KONTROLLORGAN01; 999326056; 30899
BILDESIGN AS; TROMMEDALSVEGEN 231; 3735; SKIEN; BILVERKSTED01; 988425974; 30365
DEKKSERVICE KVINESDAL AS, Avd. Flekkefjord; Trøngsla 3; 4400; FLEKKEFJORD; HJUL; 996288897; 30044
HOKKSUND AUTO A/S; Skotselv veien 2; 3300; HOKKSUND; BILVERKSTED01, KONTROLLORGAN01; 912725510; 3906
NAF Senter Mastemyr; Rosenholmveien 45; 1414; TROLLÅSEN; KONTROLLORGAN01; 987372540; 823
Olseth Auto AS; Helldalshaugen 22; 5226; NESTTUN; BILSKADE; 993561657; 6643
MYRVANG SERVICE; MEVIKVEIEN 8; 8145; STORVIK; HJUL; 985753024; 29964
OTTO MOE AS NAMSOS; Sandgata 1; 7800; Namsos; BILVERKSTED01B, KONTROLLORGAN01B; 916125844; 8710
chassiservice AS Lastebilpåbygg; Furuhallveien 8E; 3512; HØNEFOSS; PABYGGER; 987268026; 3415
CARGLASS AS AVD DAL; Vognveien 10; 2072; DAL; BILGLASS; 921373600; 30992
Rent A Car Moskenes; SAKRISØYA 20; 8390; REINE; HJUL; 988009431; 31264
Osloungdommens Motorsenter ; Ljansbrukveien 33  Hvervenbukta; 1250; Oslo; MOTORSYKKELOGMOPED; 972408875; 1470
Bertel O.Steen Lørenskog AS; Solheimsveien 7; 1461; LØRENSKOG; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 984993226; 1060
BISLETT BILPLEIE & DEKKSERVICE AS; PILESTREDET 75C; 0354; OSLO; HJUL; 993563226; 28880
Vest Bilskadesenter as; Briskeveien 17 - 3229 Sandefjord; 3229; SANDEFJORD; BILSKADE; 990208093; 4661
MC Lillehammer AS; Gudbrandsdalsveien 203; 2619; Lillehammer; MOTORSYKKELOGMOPED; 988068314; 2625
KVERNELAND BIL AS avd. Mazda Bilhuset; Vestre Svanholmen 11; 4313; SANDNES; BILVERKSTED01, KONTROLLORGAN01; 977047684; 30027
Motorsyklisten AS; Birkedalsveien 33; 4640; SØGNE; MOTORSYKKELOGMOPED; 918873775; 10210
Jan Helge Rustan Bilskadeservice; Lundebyveien 81; 3074; SANDE I VESTFOLD; BILSKADE; 971032871; 3750
SANNTO AS; Strandvegen 79; 6065; ULSTEINVIK; HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR; 911632837; 29953
Østlandsk Karosseri A/S; Herbergv. 15; 1710; Sarpsborg; BILSKADE; 985527334; 147
Utbjoe Auto AS; Skotabergvegen 2; 5411; STORD; BILVERKSTED01, KONTROLLORGAN01; 989838474; 6494
Motorcenteret AS; Billingstadsletta 83; 1396; Billingstad; MOTORSYKKELOGMOPED; 965701079; 994
HENGSRØD AS; HENGSRUDVEIEN 344; 3178; VÅLE; PABYGGER; 999536301; 30582
SLATLEM BILSENTRUM A/S; Bedriftsveien 11; 6517; Kristiansund N; BILVERKSTED01, KONTROLLORGAN01; 959116059; 7896
Autosentrum AS; Stadionvegen 12; 7240; HITRA; BILVERKSTED01B, KONTROLLORGAN01B; 992273550; 11912
Kråkstad Bilverksted Trygve Eriksen; Askimvegen 145; 1408; KRÅKSTAD; BILVERKSTED01, KONTROLLORGAN01; 953347237; 701
Pers Auto deler AS; SVELVIKVEIEN 10; 3039; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 990017921; 3722
FRYDENBØ BILSKADE AS Avd. Kristiansand; Barstøveien 40; 4636; KRISTIANSAND S; BILSKADE; 921903677; 31100
Olav Aulibråten bilverksted; Vormsundveien 1; 2150; ÅRNES; BILVERKSTED01, KONTROLLORGAN01; 977253683; 1217
Riis Montasje AS avd. Voss; Lekvemogata 9; 5700; VOSS; BILGLASS; 921979436; 30492
SKAUN DEKKSERVICE; REKSTADÅSEN; 7357; SKAUN; HJUL; 878281292; 30023
NAF Senter Namsos; Pinavegen 2; 7800; Namsos; KONTROLLORGAN01; 987372540; 8762
Marcos Motorsenter AS; Fjordveien 8; 1532; MOSS; MOTORSYKKELOGMOPED; 985700281; 21700
LUNDFJORD BILVERKSTED; Stokksundveien 1010; 7177; Revsnes; BILVERKSTED01; 833533282; 8402
Halvorsen Bilverksted AS; Lehmanns veg 5; 2100; SKARNES; BILVERKSTED01; 997364503; 21919
AUTOKOMPLEX DANIEL NOWAK; RYES GATE 28; 3263; LARVIK; BILVERKSTED01; 919580038; 30538
Wist Last & Buss AS; Furene; 6100; VOLDA; FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 958315120; 25022
SALTEN DEKKSENTER AS; MUNARVOLLVEIEN 1; 8030; BODØ; HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR; 992930381; 29763
CARFIX ØYRO AS; Brothaugen 16; 5209; OS; BILVERKSTED01; 922688974; 31193
STRAND DEKKSENTER AS avd. Jørpeland; FJELLSVEGEN 1; 4100; JØRPELAND; EKSOSANLEGG, HENGERESPALOPSBREMSEANLEGG, HJUL; 991456848; 31099
Mobile Arendal AS; INDUSTRITOPPEN 4; 4848; ARENDAL; KONTROLLORGAN01, BILVERKSTED01; 917503680; 30136
Ågotnes Auto AS; Bleivassvegen 30D; 5347; ÅGOTNES; BILVERKSTED01, KONTROLLORGAN01; 998077001; 25040
Bil & Maskinservice Nøtterøy AS; Kirkeveien 390; 3143; Kjøpmanskjær; BILVERKSTED01B, KONTROLLORGAN01B; 887061602; 4343
Autovia  AS; Rudsletta 52; 1351; RUD; BILVERKSTED01, KONTROLLORGAN01; 990682119; 924
Møller Bil Sør-Rogaland AS Avd. Møller Bil Forus (Audi); Vassbotn. 6; 4313; SANDNES; BILVERKSTED01, KONTROLLORGAN01; 933625583; 6132
Skien Kommune byutvikling, drift og kultur; Rødmyrlia 40   3735 Skien; 3716; SKIEN; KONTROLLORGAN04, BILVERKSTEDALLE; 974640686; 4814
VT DEKK OG BILGLASS AS; SANDVIKSVEIEN 233; 1341; SLEPENDEN; BILGLASS; 967659940; 29598
LÅGEN DEKK OG BILDELER AS; ÅMILLOMVEGEN 3; 2630; RINGEBU; HJUL; 916215118; 29884
FANNREM BILSKADE AS; Plogvegen 5; 7320; FANNREM; BILSKADE; 914630940; 28429
Bilsenteret A/S; Semsveien 39; 3673; NOTODDEN; BILVERKSTED01, KONTROLLORGAN01; 957661009; 5104
Krabyskogen Storbilsenter AS ; Industrivegen 15; 2850; LENA; BILVERKSTEDALLE; 982771250; 2923
Akershus Traktor AS; Industriveien 16; 2050; JESSHEIM; TRAKTOR; 947340204; 15458
CITY BILPLEIE AS; MIDTSTRANDA 57; 2321; HAMAR; BILGLASS; 943900140; 28474
BOS BilVenture AS, Kia Ensjø; Ensjøveien 17; 0655; OSLO; BILVERKSTED01, KONTROLLORGAN01; 987211652; 22520
Figgjo Autoservice; Figgenveien 34; 4332; Figgjo; BILVERKSTED01, KONTROLLORGAN01; 985024839; 6164
Slemmestad Bil AS; Boligveien 5; 3470; SLEMMESTAD; BILVERKSTED01, KONTROLLORGAN01; 951503800; 14141
Erik Arnesen Bryn AS; Nils Hansens vei 7 B; 0667; OSLO; BILVERKSTED01, KONTROLLORGAN01; 976547551; 1523
LARVIK AUTO-GLASS JOHANSSON; FROSTVEDTVEIEN 103; 3269; LARVIK; BILGLASS; 993172014; 29605
Kapp Bil og Karosseriverksted AS    ; ; 2858; KAPP; BILSKADE; 987650338; 3022
BERLEVÅG BIL & BÅT SERVICE AS; STORGATA 18B; 9980; BERLEVÅG; HJUL; 912020452; 31515
VASSLI DEKK; Laugsjøvegen 87; 7970; KOLVEREID; HJUL; 916343248; 29919
BØ BILVERKSTED V/HAUGEN; Elvefaret 4; 3802; BØ I TELEMARK; BILVERKSTED01; 997731166; 21839
Blomvikveien Bilservice Gunnar Utnes; Blomvikveien 7; 8516; Narvik; BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 971006471; 9212
GUMPENS AUTO LYNGDAL AS; Stamsøyveien 2; 4580; LYNGDAL; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01, ALKOLASVERKSTED; 952123424; 5766
Spannavegen Bil; Raglamyrveien 10; 5536; Haugesund; BILVERKSTED01; 956428386; 6419
Lakkservice AS; Torbjørnsbu 3; 4847; Arendal; BILSKADE; 950430702; 5345
Motorhuset Borkenes AS; Tverrveien 1; 9475; Borkenes; BILVERKSTED01B, KONTROLLORGAN01; 941106609; 9411
AUTOSTRADA SERVICESENTER AS; SANDVIKAVEGEN 6; 2312; OTTESTAD; BILVERKSTED01, KONTROLLORGAN01; 921089708; 30896
Sekkingstad Bilteknikk AS; Skogedalsveien 1; 5350; BRATTHOLMEN; BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE; 997854462; 21339
UNIBIL VERKSTED AS; HILLEVÅGSVEIEN 91; 4016; STAVANGER; KONTROLLORGAN01, BILVERKSTED01; 919527161; 30524
BØGEBERGS BILOPPRETTING; Vigdalsvegen 61; 7350; BUVIKA; BILSKADE; 970406492; 8128
NAF Senter Stjørdal; Wessels veg 91; 7502; STJØRDAL; KONTROLLORGAN01, BILVERKSTED01B; 987372540; 8510
Arne Gulbrandsen A/S; Gladengveien 12; 0661; OSLO; BILVERKSTED01, KONTROLLORGAN01; 916780648; 1310
Eiksenteret Stokke, Vestfold Maskin AS; Melsomvikveien 7; 3160; STOKKE; TRAKTOR; 984736878; 19539
NILSEN BILSERVICE A/S; Tornerudveien 35; 1831; Askim; BILVERKSTED01, KONTROLLORGAN01; 974526212; 219
Møller Bil Servicesenter; Kokstadvegen 29 A; 5257; KOKSTAD; BILVERKSTED01, KONTROLLORGAN01; 834083922; 30147
LEVANGER BILELEKTRO AS; HELGA DE FAGRES GATE 12; 7600; Levanger; BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B; 993498661; 8592
RIIS MONTASJE AS avd 803 Sandvika; Engervannsveien 23; 1337; SANDVIKA; BILGLASS; 921979436; 29670
Melby Auto avd Skjetten; Bråteveien 147; 2013; SKJETTEN; BILVERKSTED01, KONTROLLORGAN01; 980928012; 1035
Sulland Lillehammer AS; Moavegen 35 ; 2619; LILLEHAMMER; BILVERKSTED01, KONTROLLORGAN01; 979488378; 2623
NORDÅS AUTO AS; NORDÅSDALEN 13; 5235; RÅDAL; BILVERKSTED01, KONTROLLORGAN01; 923749969; 31395
B.O.Steen Buskerud AS; Vestre Linnesvei 8; 3401; LIER; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04; 948017539; 3637
VINTAGE WHEELS AS; KILGATA 12; 3217; SANDEFJORD; HJUL; 912855678; 29931
KEY AS; RAMBEKKVEGEN 8; 2816; GJØVIK; HENGERESPALOPSBREMSEANLEGG; 988884685; 30709
Horten Auto Service; Storgt. 74; 3182; Horten; BILVERKSTED01, KONTROLLORGAN01; 950196491; 4111
Møller Bil Hedmark AS avd. Møller Bil Tynset; Elfengveien 2; 2500; Tynset; BILVERKSTED01, KONTROLLORGAN01; 976951336; 2300
